chain,track,source,model,seed,reporting_budget,model_value_capture,oracle_value_capture,oracle_gap_value_capture,headroom_kusd,total_observed_late_value_kusd,group_model_macro_value_capture,group_oracle_macro_value_capture,group_oracle_gap_macro_value_capture,group_model_pooled_value_capture,group_oracle_pooled_value_capture
cotton,b2,nbfnet,NBFNet,2,3,0.5855359700338342,1.0,0.4144640299661659,5492.25759999999,47343.418799999985,0.5855359700338342,1.0,0.4144640299661659,0.8839911071230033,1.0
cotton,b2,nbfnet,NBFNet,3,3,0.5321242951887153,1.0,0.46787570481128465,6206.203999999991,47343.418799999985,0.5321242951887153,1.0,0.46787570481128465,0.8689109456539714,1.0
cotton,b2,nbfnet,NBFNet,4,3,0.5868767500154642,1.0,0.41312324998453576,40293.14419999999,47343.418799999985,0.5868767500154642,1.0,0.41312324998453576,0.1489177329965026,1.0
aluminium,a,cpu,gravity,,500,0.13395766281028118,0.8242005427356749,0.6902428799253937,4525989.7896,6557097.3946,0.21511980951652557,0.8299470497939144,0.6148272402773887,0.17894551244065787,0.7534176647533793
aluminium,a,cpu,historical_logistic_size_gravity,,500,0.14210773964824464,0.8242005427356749,0.6820928030874303,4472548.942,6557097.3946,0.21883720510379862,0.8299470497939144,0.6111098446901158,0.21288096534139583,0.7534176647533793
aluminium,a,cpu,size,,500,0.1125688861367031,0.8242005427356749,0.7116316565989718,4666238.0814,6557097.3946,0.18233593648593502,0.8299470497939144,0.6476111133079794,0.17052140941521102,0.7534176647533793
aluminium,a,kge,RotatE,0,500,0.03215218998784765,0.8242005427356749,0.7920483527478273,5193538.1902,6557097.3946,0.1793439204847237,0.8299470497939144,0.6506031293091907,0.06455327684298053,0.7534176647533793
aluminium,a,kge,RotatE,1,500,0.035625841243776483,0.8242005427356749,0.7885747014918985,5170761.1206,6557097.3946,0.1849258742354908,0.8299470497939144,0.6450211755584235,0.08889052953216904,0.7534176647533793
aluminium,a,kge,RotatE,2,500,0.045923260656153375,0.8242005427356749,0.7782772820795215,5103239.9386,6557097.3946,0.16368574300781286,0.8299470497939144,0.6662613067861014,0.0722666575595232,0.7534176647533793
aluminium,a,kge,RotatE,3,500,0.030814277635466743,0.8242005427356749,0.7933862651002082,5202311.0117999995,6557097.3946,0.18360048941867246,0.8299470497939144,0.6463465603752419,0.06929894992473565,0.7534176647533793
aluminium,a,kge,RotatE,4,500,0.035744150756860556,0.8242005427356749,0.7884563919788143,5169985.3536,6557097.3946,0.182582941964775,0.8299470497939144,0.6473641078291392,0.08095456151637379,0.7534176647533793
aluminium,a,nbfnet,NBFNet,0,500,0.01584559285112437,0.8242005427356749,0.8083549498845505,5300462.1358,6557097.3946,0.16056412079373567,0.8299470497939144,0.6693829290001787,0.043739823848917524,0.7534176647533793
aluminium,a,nbfnet,NBFNet,1,500,0.056015807131747856,0.8242005427356749,0.7681847356039271,5037062.1284,6557097.3946,0.19401160879284335,0.8299470497939144,0.635935441001071,0.07734028425712229,0.7534176647533793
aluminium,a,nbfnet,NBFNet,2,500,0.02516567073350087,0.8242005427356749,0.799034872002174,5239349.4774,6557097.3946,0.19664306884328936,0.8299470497939144,0.6333039809506249,0.044029511935839066,0.7534176647533793
aluminium,a,nbfnet,NBFNet,3,500,0.02446152868372708,0.8242005427356749,0.7997390140519478,5243966.6054,6557097.3946,0.16493000287670928,0.8299470497939144,0.6650170469172051,0.049027082724857236,0.7534176647533793
aluminium,a,nbfnet,NBFNet,4,500,0.03309849391267726,0.8242005427356749,0.7911020488229976,5187333.1832,6557097.3946,0.1790211532961008,0.8299470497939144,0.6509258964978136,0.0960086606184082,0.7534176647533793
aluminium,b1,cpu,historical_logistic_structural,,50,0.1149583359654725,0.9960289707109002,0.8810706347454278,720986.9635999999,818307.7896,0.6458998724498077,0.9279010962794321,0.2820012238296243,0.7515250953441491,0.9862978124582185
aluminium,b1,cpu,upstream_capacity,,50,0.2326252486158663,0.9960289707109002,0.7634037220950339,624699.2123999998,818307.7896,0.5530751668791927,0.9279010962794321,0.37482592940023934,0.6490816789849118,0.9862978124582185
aluminium,b1,kge,DistMult,0,50,0.6495151036748728,0.9960289707109002,0.3465138670360275,283554.99659999995,818307.7896,0.5952211023541222,0.9279010962794321,0.3326799939253099,0.7466961873828409,0.9862978124582185
aluminium,b1,kge,DistMult,1,50,0.6458436030021629,0.9960289707109002,0.3501853677087373,286559.4142,818307.7896,0.556104345587421,0.9279010962794321,0.37179675069201124,0.7510274637620289,0.9862978124582185
aluminium,b1,kge,DistMult,2,50,0.6452160853290745,0.9960289707109002,0.35081288538182576,287072.9168,818307.7896,0.3214838188796776,0.9279010962794321,0.6064172773997545,0.25196838918127296,0.9862978124582185
aluminium,b1,kge,DistMult,3,50,0.6489573651249035,0.9960289707109002,0.3470716055859967,284011.39839999995,818307.7896,0.5870161577178621,0.9279010962794321,0.34088493856156993,0.7590638785237831,0.9862978124582185
aluminium,b1,kge,DistMult,4,50,0.641529142056208,0.9960289707109002,0.3544998286546922,290089.9711999999,818307.7896,0.37188833105888564,0.9279010962794321,0.5560127652205464,0.6438145698912702,0.9862978124582185
